zipcode,type,decommissioned,city,state_code,county,world_region,country,latitude,longitude
00694,PO BOX,0,Vega Baja,PR,Vega Baja Municipio,,US,18.48,-66.39
00698,STANDARD,0,Yauco,PR,Yauco Municipio,,US,18.03,-66.86
00703,STANDARD,0,Aguas Buenas,PR,Aguas Buenas Municipio,,US,18.25,-66.1
00704,STANDARD,0,Aguirre,PR,Salinas Municipio,,US,17.96,-66.22
00705,STANDARD,0,Aibonito,PR,Aibonito Municipio,,US,18.14,-66.26
00707,STANDARD,0,Maunabo,PR,Maunabo Municipio,,US,18,-65.9
00714,STANDARD,0,Arroyo,PR,Arroyo Municipio,,US,17.97,-66.06
00715,STANDARD,0,Mercedita,PR,Ponce Municipio,,US,18.01,-66.56
00716,STANDARD,0,Ponce,PR,Ponce Municipio,,US,17.98,-66.6
00717,STANDARD,0,Ponce,PR,Ponce Municipio,,US,18,-66.61
00718,STANDARD,0,Naguabo,PR,Naguabo Municipio,,US,18.21,-65.73
00719,STANDARD,0,Naranjito,PR,Naranjito Municipio,,US,18.3,-66.24
00720,STANDARD,0,Orocovis,PR,Orocovis Municipio,,US,18.22,-66.39
00721,PO BOX,0,Palmer,PR,,,US,18.37,-65.77
00723,STANDARD,0,Patillas,PR,Patillas Municipio,,US,18,-66.01
00725,STANDARD,0,Caguas,PR,Caguas Municipio,,US,18.23,-66.03
00726,PO BOX,0,Caguas,PR,,,US,18.23,-66.03
00727,STANDARD,0,Caguas,PR,Caguas Municipio,,US,18.22,-66.07
00728,STANDARD,0,Ponce,PR,Ponce Municipio,,US,17.99,-66.66
00729,STANDARD,0,Canovanas,PR,Canovanas Municipio,,US,18.37,-65.9
00730,STANDARD,0,Ponce,PR,Ponce Municipio,,US,18.03,-66.62
00731,STANDARD,0,Ponce,PR,Ponce Municipio,,US,18.11,-66.63
00732,PO BOX,0,Ponce,PR,,,US,17.98,-66.6
00733,PO BOX,0,Ponce,PR,,,US,17.98,-66.6
00734,PO BOX,0,Ponce,PR,,,US,17.98,-66.6
00735,STANDARD,0,Ceiba,PR,Ceiba Municipio,,US,18.25,-65.68
00736,STANDARD,0,Cayey,PR,Cayey Municipio,,US,18.11,-66.16
00737,PO BOX,0,Cayey,PR,,,US,18.11,-66.16
00738,STANDARD,0,Fajardo,PR,Fajardo Municipio,,US,18.33,-65.65
00739,STANDARD,0,Cidra,PR,Cidra Municipio,,US,18.17,-66.15
00740,STANDARD,0,Puerto Real,PR,Fajardo Municipio,,US,18.33,-65.63
00741,STANDARD,0,Punta Santiago,PR,Humacao Municipio,,US,18.16,-65.75
00742,PO BOX,0,Roosevelt Roads,PR,,,US,18.27,-65.65
00744,PO BOX,0,Rio Blanco,PR,,,US,18.22,-65.79
00745,STANDARD,0,Rio Grande,PR,Rio Grande Municipio,,US,18.38,-65.83
00751,STANDARD,0,Salinas,PR,Salinas Municipio,,US,17.97,-66.29
00754,STANDARD,0,San Lorenzo,PR,San Lorenzo Municipio,,US,18.19,-65.96
00757,STANDARD,0,Santa Isabel,PR,Santa Isabel Municipio,,US,17.97,-66.4
00765,STANDARD,0,Vieques,PR,Vieques Municipio,,US,18.13,-65.44
00766,STANDARD,0,Villalba,PR,Villalba Municipio,,US,18.13,-66.48
00767,STANDARD,0,Yabucoa,PR,Yabucoa Municipio,,US,18.04,-65.87
00769,STANDARD,0,Coamo,PR,Coamo Municipio,,US,18.08,-66.36
00771,STANDARD,0,Las Piedras,PR,Las Piedras Municipio,,US,18.18,-65.86
00772,STANDARD,0,Loiza,PR,Loiza Municipio,,US,18.43,-65.88
00773,STANDARD,0,Luquillo,PR,Luquillo Municipio,,US,18.37,-65.71
00775,PO BOX,0,Culebra,PR,Culebra Municipio,,US,18.33,-65.3
00777,STANDARD,0,Juncos,PR,Juncos Municipio,,US,18.22,-65.91
00778,STANDARD,0,Gurabo,PR,Gurabo Municipio,,US,18.25,-65.97
00780,STANDARD,0,Coto Laurel,PR,Ponce Municipio,,US,18.09,-66.57
00782,STANDARD,0,Comerio,PR,Comerio Municipio,,US,18.22,-66.22
00783,STANDARD,0,Corozal,PR,Corozal Municipio,,US,18.34,-66.31
00784,STANDARD,0,Guayama,PR,Guayama Municipio,,US,17.97,-66.11
00785,PO BOX,0,Guayama,PR,,,US,17.97,-66.11
00786,PO BOX,0,La Plata,PR,Aibonito Municipio,,US,18.16,-66.23
00791,STANDARD,0,Humacao,PR,Humacao Municipio,,US,18.15,-65.81
00792,PO BOX,0,Humacao,PR,,,US,18.15,-65.81
00794,STANDARD,0,Barranquitas,PR,Barranquitas Municipio,,US,18.18,-66.3
00795,STANDARD,0,Juana Diaz,PR,Juana Diaz Municipio,,US,18.05,-66.5
00801,PO BOX,0,St Thomas,VI,,,US,18.35,-64.93
00802,STANDARD,0,St Thomas,VI,,,US,18.35,-64.93
00803,PO BOX,0,St Thomas,VI,,,US,18.35,-64.93
00804,PO BOX,0,St Thomas,VI,,,US,18.35,-64.93
00805,PO BOX,0,St Thomas,VI,,,US,18.34,-64.93
00820,STANDARD,0,Christiansted,VI,,,US,17.74,-64.7
00821,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7
00822,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7
00823,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7
00824,PO BOX,0,Christiansted,VI,,,US,17.74,-64.7
00830,STANDARD,0,St John,VI,,,US,18.33,-64.79
00831,PO BOX,0,St John,VI,,,US,18.33,-64.79
00840,STANDARD,0,Frederiksted,VI,,,US,17.71,-64.88
00841,PO BOX,0,Frederiksted,VI,,,US,17.71,-64.88
00850,STANDARD,0,Kingshill,VI,,,US,17.76,-64.82
00851,PO BOX,0,Kingshill,VI,,,US,17.73,-64.8
00901,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.47,-66.1
00902,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00906,PO BOX,0,San Juan,PR,San Juan Municipio,,US,18.46,-66.09
00907,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.08
00908,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00909,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.44,-66.07
00910,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00911,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.06
00912,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.06
00913,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.45,-66.04
00914,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00915,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.44,-66.05
00916,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00917,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.42,-66.05
00918,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.42,-66.07
00919,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00920,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.41,-66.09
00921,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.39,-66.09
00922,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00923,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.41,-66.04
00924,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.01
00925,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.05
00926,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.35,-66.05
00927,STANDARD,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.06
00928,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00929,PO BOX,0,San Juan,PR,San Juan,,US,18.4,-66.06
00930,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00931,PO BOX,0,San Juan,PR,San Juan,,US,18.4,-66.06
00933,PO BOX,0,San Juan,PR,San Juan,,US,18.4,-66.06
00934,STANDARD,0,Fort Buchanan,PR,Guaynabo Municipio,,US,18.41,-66.12
00935,UNIQUE,0,San Juan,PR,San Juan,,US,18.4,-66.06
00936,PO BOX,0,San Juan,PR,San Juan Municipio,,US,18.4,-66.07
00937,PO BOX,0,San Juan,PR,San Juan,,US,18.4,-66.06
00939,UNIQUE,0,San Juan,PR,San Juan,,US,18.4,-66.06
00940,PO BOX,0,San Juan,PR,,,US,18.4,-66.06
00949,STANDARD,0,Toa Baja,PR,Toa Baja Municipio,,US,18.44,-66.25
00950,PO BOX,0,Toa Baja,PR,Dorado Municipio,,US,18.46,-66.23
00951,PO BOX,0,Toa Baja,PR,Toa Baja Municipio,,US,18.43,-66.25
00952,STANDARD,0,Sabana Seca,PR,Toa Baja Municipio,,US,18.42,-66.19
00953,STANDARD,0,Toa Alta,PR,Toa Alta Municipio,,US,18.39,-66.25
00954,PO BOX,0,Toa Alta,PR,Toa Alta,,US,18.39,-66.25
00955,PO BOX,0,San Juan,PR,San Juan,,US,18.4,-66.06
00956,STANDARD,0,Bayamon,PR,Bayamon Municipio,,US,18.32,-66.17
00957,STANDARD,0,Bayamon,PR,Bayamon Municipio,,US,18.37,-66.19
00958,PO BOX,0,Bayamon,PR,Bayamon,,US,18.28,-66.13
00959,STANDARD,0,Bayamon,PR,Bayamon Municipio,,US,18.39,-66.15
00960,PO BOX,0,Bayamon,PR,Bayamon Municipio,,US,18.42,-66.15
00961,STANDARD,0,Bayamon,PR,Bayamon Municipio,,US,18.41,-66.17
00962,STANDARD,0,Catano,PR,Catano Municipio,,US,18.44,-66.15
00963,PO BOX,0,Catano,PR,Catano,,US,18.43,-66.11
00965,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,,US,18.43,-66.11
00966,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,,US,18.4,-66.12
00968,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,,US,18.41,-66.1
00969,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,,US,18.38,-66.11
00970,PO BOX,0,Guaynabo,PR,,,US,18.38,-66.11
00971,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,,US,18.32,-66.12
00975,UNIQUE,0,San Juan,PR,San Juan,,US,18.4,-66.06
00976,STANDARD,0,Trujillo Alto,PR,Trujillo Alto Municipio,,US,18.36,-66.01
00977,PO BOX,0,Trujillo Alto,PR,,,US,18.36,-66.01
00978,PO BOX,0,Saint Just,PR,San Juan,,US,18.37,-66.01
00979,STANDARD,0,Carolina,PR,Carolina Municipio,,US,18.44,-66.03
00981,PO BOX,0,Carolina,PR,Carolina,,US,18.4,-65.98
00982,STANDARD,0,Carolina,PR,Carolina Municipio,,US,18.41,-65.99
00983,STANDARD,0,Carolina,PR,Carolina Municipio,,US,18.4,-65.98
00984,PO BOX,0,Carolina,PR,Carolina,,US,18.4,-65.98
00985,STANDARD,0,Carolina,PR,Carolina Municipio,,US,18.41,-65.95
00986,PO BOX,0,Carolina,PR,Carolina,,US,18.4,-65.98
00987,STANDARD,0,Carolina,PR,Carolina Municipio,,US,18.34,-65.94
00988,PO BOX,0,Carolina,PR,Carolina,,US,18.4,-65.98
01001,STANDARD,0,Agawam,MA,Hampden County,,US,42.06,-72.61
01002,STANDARD,0,Amherst,MA,Hampshire County,,US,42.37,-72.52
01003,PO BOX,0,Amherst,MA,Hampshire County,,US,42.39,-72.52
01004,PO BOX,0,Amherst,MA,Hampshire County,,US,42.37,-72.52
01005,STANDARD,0,Barre,MA,Worcester County,,US,42.42,-72.1
01007,STANDARD,0,Belchertown,MA,Hampshire County,,US,42.27,-72.4
01008,STANDARD,0,Blandford,MA,Hampden County,,US,42.18,-72.93
01009,PO BOX,0,Bondsville,MA,Hampden County,,US,42.2,-72.34
01010,STANDARD,0,Brimfield,MA,Hampden County,,US,42.11,-72.2
01011,STANDARD,0,Chester,MA,Hampden County,,US,42.28,-72.98
01012,STANDARD,0,Chesterfield,MA,Hampshire County,,US,42.4,-72.85
01013,STANDARD,0,Chicopee,MA,Hampden County,,US,42.15,-72.6
01014,PO BOX,0,Chicopee,MA,Hampden County,,US,42.17,-72.57
01020,STANDARD,0,Chicopee,MA,Hampden County,,US,42.17,-72.57
01021,PO BOX,0,Chicopee,MA,Hampden County,,US,42.17,-72.57
01022,STANDARD,0,Chicopee,MA,Hampden County,,US,42.2,-72.54
01026,STANDARD,0,Cummington,MA,Hampshire County,,US,42.46,-72.9
01027,STANDARD,0,Easthampton,MA,Hampshire County,,US,42.26,-72.68
01028,STANDARD,0,East Longmeadow,MA,Hampden County,,US,42.06,-72.51
01029,PO BOX,0,East Otis,MA,Berkshire County,,US,42.17,-73.03
01030,STANDARD,0,Feeding Hills,MA,Hampden County,,US,42.06,-72.67
01031,STANDARD,0,Gilbertville,MA,Worcester County,,US,42.33,-72.2
01032,STANDARD,0,Goshen,MA,Hampshire County,,US,42.46,-72.81
01033,STANDARD,0,Granby,MA,Hampshire County,,US,42.26,-72.52
01034,STANDARD,0,Granville,MA,Hampden County,,US,42.06,-72.86
01035,STANDARD,0,Hadley,MA,Hampshire County,,US,42.35,-72.58
01036,STANDARD,0,Hampden,MA,Hampden County,,US,42.06,-72.41
01037,PO BOX,0,Hardwick,MA,Worcester County,,US,42.35,-72.2
01038,STANDARD,0,Hatfield,MA,Hampshire County,,US,42.37,-72.6
01039,STANDARD,0,Haydenville,MA,Hampshire County,,US,42.39,-72.7
01040,STANDARD,0,Holyoke,MA,Hampden County,,US,42.21,-72.64
01041,PO BOX,0,Holyoke,MA,Hampden County,,US,42.21,-72.64
01050,STANDARD,0,Huntington,MA,Hampshire County,,US,42.23,-72.88
01053,STANDARD,0,Leeds,MA,Hampshire County,,US,42.35,-72.71
01054,STANDARD,0,Leverett,MA,Franklin County,,US,42.45,-72.5
01056,STANDARD,0,Ludlow,MA,Hampden County,,US,42.16,-72.48
01057,STANDARD,0,Monson,MA,Hampden County,,US,42.09,-72.31
01059,PO BOX,0,North Amherst,MA,Hampshire County,,US,42.4,-72.52
01060,STANDARD,0,Northampton,MA,Hampshire County,,US,42.32,-72.63
01061,PO BOX,0,Northampton,MA,Hampshire County,,US,42.32,-72.67
01062,STANDARD,0,Florence,MA,Hampshire County,,US,42.32,-72.67
01063,UNIQUE,0,Northampton,MA,Hampshire County,,US,42.32,-72.64
01066,PO BOX,0,North Hatfield,MA,Hampshire County,,US,42.41,-72.66
01068,STANDARD,0,Oakham,MA,Worcester County,,US,42.35,-72.05
01069,STANDARD,0,Palmer,MA,Hampden County,,US,42.16,-72.32
01070,STANDARD,0,Plainfield,MA,Hampshire County,,US,42.51,-72.91
01071,STANDARD,0,Russell,MA,Hampden County,,US,42.18,-72.85
01072,STANDARD,0,Shutesbury,MA,Franklin County,,US,42.45,-72.4
01073,STANDARD,0,Southampton,MA,Hampshire County,,US,42.23,-72.73
01074,PO BOX,0,South Barre,MA,Worcester County,,US,42.39,-72.09
01075,STANDARD,0,South Hadley,MA,Hampshire County,,US,42.26,-72.56
01077,STANDARD,0,Southwick,MA,Hampden County,,US,42.05,-72.76
01079,PO BOX,0,Thorndike,MA,Hampden County,,US,42.2,-72.33
01080,STANDARD,0,Three Rivers,MA,Hampden County,,US,42.18,-72.37
01081,STANDARD,0,Wales,MA,Hampden County,,US,42.06,-72.21
01082,STANDARD,0,Ware,MA,Hampshire County,,US,42.25,-72.24
01083,PO BOX,0,Warren,MA,Worcester County,,US,42.21,-72.19
01084,STANDARD,0,West Chesterfield,MA,Hampshire County,,US,42.39,-72.88
01085,STANDARD,0,Westfield,MA,Hampden County,,US,42.13,-72.75
01086,PO BOX,0,Westfield,MA,Hampden County,,US,42.13,-72.79
01088,STANDARD,0,West Hatfield,MA,Hampshire County,,US,42.39,-72.64
01089,STANDARD,0,West Springfield,MA,Hampden County,,US,42.12,-72.65
01090,PO BOX,0,West Springfield,MA,Hampden County,,US,42.12,-72.65
01092,PO BOX,0,West Warren,MA,Worcester County,,US,42.19,-72.24
01093,PO BOX,0,Whately,MA,Franklin County,,US,42.44,-72.65
01094,PO BOX,0,Wheelwright,MA,Worcester County,,US,42.35,-72.14
01095,STANDARD,0,Wilbraham,MA,Hampden County,,US,42.13,-72.43
01096,STANDARD,0,Williamsburg,MA,Hampshire County,,US,42.4,-72.76
01097,PO BOX,0,Woronoco,MA,Hampden County,,US,42.18,-72.83
01098,STANDARD,0,Worthington,MA,Hampshire County,,US,42.41,-72.93
01101,PO BOX,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01102,PO BOX,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01103,STANDARD,0,Springfield,MA,Hampden County,,US,42.1,-72.59
01104,STANDARD,0,Springfield,MA,Hampden County,,US,42.13,-72.57
01105,STANDARD,0,Springfield,MA,Hampden County,,US,42.1,-72.58
01106,STANDARD,0,Longmeadow,MA,Hampden County,,US,42.04,-72.57
01107,STANDARD,0,Springfield,MA,Hampden County,,US,42.12,-72.61
01108,STANDARD,0,Springfield,MA,Hampden County,,US,42.08,-72.56
01109,STANDARD,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01111,UNIQUE,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01115,PO BOX,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01116,PO BOX,0,Longmeadow,MA,Hampden County,,US,42.04,-72.57
01118,STANDARD,0,Springfield,MA,Hampden County,,US,42.09,-72.53
01119,STANDARD,0,Springfield,MA,Hampden County,,US,42.12,-72.51
01128,STANDARD,0,Springfield,MA,Hampden County,,US,42.09,-72.49
01129,STANDARD,0,Springfield,MA,Hampden County,,US,42.12,-72.49
01133,UNIQUE,1,Springfield,MA,Hampden County,,US,42.1,-72.59
01138,PO BOX,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01139,PO BOX,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01144,STANDARD,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01151,STANDARD,0,Indian Orchard,MA,Hampden County,,US,42.15,-72.51
01152,STANDARD,0,Springfield,MA,Hampden County,,US,42.11,-72.53
01195,STANDARD,1,Springfield,MA,Hampden County,,US,42.1,-72.58
01199,UNIQUE,0,Springfield,MA,Hampden County,,US,42.12,-72.6
01201,STANDARD,0,Pittsfield,MA,Berkshire County,,US,42.45,-73.26
01202,PO BOX,0,Pittsfield,MA,Berkshire County,,US,42.45,-73.26
01203,PO BOX,0,Pittsfield,MA,Berkshire County,,US,42.45,-73.26
01220,STANDARD,0,Adams,MA,Berkshire County,,US,42.62,-73.11
01222,STANDARD,0,Ashley Falls,MA,Berkshire County,,US,42.05,-73.33
01223,STANDARD,0,Becket,MA,Berkshire County,,US,42.33,-73.07
01224,STANDARD,0,Berkshire,MA,Berkshire County,,US,42.51,-73.2
01225,STANDARD,0,Cheshire,MA,Berkshire County,,US,42.55,-73.15
01226,STANDARD,0,Dalton,MA,Berkshire County,,US,42.47,-73.16
01227,PO BOX,0,Dalton,MA,Berkshire County,,US,42.47,-73.16
01229,PO BOX,0,Glendale,MA,Berkshire County,,US,42.28,-73.34
01230,STANDARD,0,Great Barrington,MA,Berkshire County,,US,42.19,-73.35
01235,STANDARD,0,Hinsdale,MA,Berkshire County,,US,42.42,-73.07
01236,STANDARD,0,Housatonic,MA,Berkshire County,,US,42.27,-73.38
01237,STANDARD,0,Lanesboro,MA,Berkshire County,,US,42.51,-73.22
01238,STANDARD,0,Lee,MA,Berkshire County,,US,42.3,-73.25
01240,STANDARD,0,Lenox,MA,Berkshire County,,US,42.35,-73.28
01242,PO BOX,0,Lenox Dale,MA,Berkshire County,,US,42.33,-73.25
01243,PO BOX,0,Middlefield,MA,Hampshire County,,US,42.35,-73.01
01244,PO BOX,0,Mill River,MA,Berkshire County,,US,42.12,-73.26
01245,STANDARD,0,Monterey,MA,Berkshire County,,US,42.18,-73.21
01247,STANDARD,0,North Adams,MA,Berkshire County,,US,42.68,-73.11
01252,PO BOX,0,North Egremont,MA,Berkshire County,,US,42.17,-73.44
01253,STANDARD,0,Otis,MA,Berkshire County,,US,42.21,-73.11
01254,STANDARD,0,Richmond,MA,Berkshire County,,US,42.37,-73.36
01255,STANDARD,0,Sandisfield,MA,Berkshire County,,US,42.11,-73.13
01256,STANDARD,0,Savoy,MA,Berkshire County,,US,42.56,-73.02
01257,STANDARD,0,Sheffield,MA,Berkshire County,,US,42.1,-73.34
01258,STANDARD,0,South Egremont,MA,Berkshire County,,US,42.11,-73.46
01259,STANDARD,0,Southfield,MA,Berkshire County,,US,42.07,-73.23
01260,PO BOX,0,South Lee,MA,Berkshire County,,US,42.3,-73.34
01262,PO BOX,0,Stockbridge,MA,Berkshire County,,US,42.3,-73.32
01263,UNIQUE,0,Stockbridge,MA,Berkshire County,,US,42.3,-73.32
01264,PO BOX,0,Tyringham,MA,Berkshire County,,US,42.24,-73.19
01266,STANDARD,0,West Stockbridge,MA,Berkshire County,,US,42.31,-73.39
01267,STANDARD,0,Williamstown,MA,Berkshire County,,US,42.7,-73.2
01270,STANDARD,0,Windsor,MA,Berkshire County,,US,42.51,-73.04
01301,STANDARD,0,Greenfield,MA,Franklin County,,US,42.58,-72.59
01302,PO BOX,0,Greenfield,MA,Franklin County,,US,42.58,-72.59
01330,STANDARD,0,Ashfield,MA,Franklin County,,US,42.53,-72.78
01331,STANDARD,0,Athol,MA,Worcester County,,US,42.59,-72.23
01337,STANDARD,0,Bernardston,MA,Franklin County,,US,42.66,-72.55
01338,STANDARD,0,Buckland,MA,Franklin County,,US,42.57,-72.82
01339,STANDARD,0,Charlemont,MA,Franklin County,,US,42.63,-72.88
01340,STANDARD,0,Colrain,MA,Franklin County,,US,42.66,-72.68
01341,STANDARD,0,Conway,MA,Franklin County,,US,42.51,-72.68
01342,STANDARD,0,Deerfield,MA,Franklin County,,US,42.55,-72.6
01343,STANDARD,0,Drury,MA,Berkshire County,,US,42.66,-72.98
01344,STANDARD,0,Erving,MA,Franklin County,,US,42.6,-72.4
01346,STANDARD,0,Heath,MA,Franklin County,,US,42.66,-72.83
01347,PO BOX,0,Lake Pleasant,MA,Franklin County,,US,42.56,-72.52
01349,STANDARD,0,Millers Falls,MA,Franklin County,,US,42.56,-72.48
01350,PO BOX,0,Monroe Bridge,MA,Franklin County,,US,42.72,-72.98
01351,STANDARD,0,Montague,MA,Franklin County,,US,42.53,-72.53
01354,STANDARD,0,Gill,MA,Franklin County,,US,42.62,-72.51
01355,STANDARD,0,New Salem,MA,Franklin County,,US,42.5,-72.33
01360,STANDARD,0,Northfield,MA,Franklin County,,US,42.7,-72.43
01364,STANDARD,0,Orange,MA,Franklin County,,US,42.59,-72.3
01366,STANDARD,0,Petersham,MA,Worcester County,,US,42.48,-72.18
01367,STANDARD,0,Rowe,MA,Franklin County,,US,42.7,-72.9
01368,STANDARD,0,Royalston,MA,Worcester County,,US,42.68,-72.18
01370,STANDARD,0,Shelburne Falls,MA,Franklin County,,US,42.6,-72.74
01373,STANDARD,0,South Deerfield,MA,Franklin County,,US,42.47,-72.59
01375,STANDARD,0,Sunderland,MA,Franklin County,,US,42.46,-72.58
01376,STANDARD,0,Turners Falls,MA,Franklin County,,US,42.59,-72.55
01378,STANDARD,0,Warwick,MA,Franklin County,,US,42.68,-72.33
01379,STANDARD,0,Wendell,MA,Franklin County,,US,42.55,-72.4
01380,STANDARD,0,Wendell Depot,MA,Franklin County,,US,42.58,-72.37
01420,STANDARD,0,Fitchburg,MA,Worcester County,,US,42.58,-71.81
01430,STANDARD,0,Ashburnham,MA,Worcester County,,US,42.63,-71.9
01431,STANDARD,0,Ashby,MA,Middlesex County,,US,42.68,-71.81
01432,STANDARD,0,Ayer,MA,Middlesex County,,US,42.56,-71.58
